Pot ID,Rep,Ovary present,Stamen present,Anthers present,# of tepals,Size,Notes
VA.20.4,1,1,0,0,5,3,
VA.20.4,2,1,0,0,5,< 3,
VA.20.4,3,1,0,0,5,3,
VA.20.4,4,1,0,0,5,< 3,
VA.20.4,5,1,0,0,5,> 3,
PA.26.1,1,4a,1,1,5,4,
PA.26.1,2,4a,0,1,5,> 3,
PA.26.1,3,4a,1,1,5,4,
PA.26.1,4,4a,0,1,5,3,
PA.26.1,5,4a,1,1,5,3,
NJ.31.1,1,1,0,0,5,< 3,
NJ.31.1,2,1,0,0,5,3,
NJ.31.1,3,1,0,0,5,3,
NJ.31.1,4,1,0,0,5,3,
NJ.31.1,5,1,0,0,5,< 3,
NJ.29.4,1,4b,1,1,5,3.5,
NJ.29.4,2,4b,1,1,5,4,
NJ.29.4,3,4b,1,1,5,4,
NJ.29.4,4,4b,1,1,5,> 3,
NJ.29.4,5,4b,1,1,5,> 3,
PA.26.3,1,4a,0,1,5,3,
PA.26.3,2,1,1,1,5,3,
PA.26.3,3,4a,1,1,6,4,
PA.26.3,4,4a,0,1,6,3,
PA.26.3,5,4a,0,1,5,3,
PA.27.3,1,4b,1,1,5,4,
PA.27.3,2,4b,1,1,5,> 3,
PA.27.3,3,4b,1,1,5,4,
PA.27.3,4,4b,1,1,5,3,
PA.27.3,5,4b,1,1,5,> 3,
NJ.29.2,1,4b,1,1,5,3,
NJ.29.2,2,4b,1,1,5,3,
NJ.29.2,3,4b,1,1,5,3.5,
NJ.29.2,4,4b,1,1,5,> 3,
NJ.29.2,5,4b,1,1,5,> 3,
NJ.29.2,6,4b,1,1,5,3,
NJ.29.2,7,4b,1,1,5,3,
NJ.29.2,8,4b,1,1,5,3,
NJ.29.2,9,4b,1,1,5,3,
PA.25.4,1,4a,0,1,6,4,
PA.25.4,2,4a,0,1,5,3,
PA.25.4,3,4a,0,1,5,3,
PA.25.4,4,4a,0,0,6,3,
PA.25.4,5,4a,0,1,8,7,
VA.12.2,1,1,0,0,5,< 3,
VA.12.2,2,1,0,0,5,3,
VA.12.2,3,1,0,0,5,< 3,
VA.12.2,4,1,0,0,5,< 3,missing one segment of stigma
VA.12.2,5,1,0,0,5,>3,
PA.25.1,1,3,1,0,5,> 3,tepals deformed/curly
PA.25.1,2,1,0,0,5,4,
PA.25.1,3,1,0,0,6,4,
PA.25.1,4,1,0,0,5,3,
PA.25.1,5,1,0,0,5,4,
PA.25.2,1,1,0,0,5,3,"tepals deformed; 2 fused together, but counted as 1"
PA.25.2,2,1,0,0,6,3,"stamen structures obvious, but not fully developed"
PA.25.2,3,1,0,1,5,3,"stamen structures obvious, but not fully developed"
PA.25.2,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
PA.25.2,5,1,0,1,6,4,"stamen structures obvious, but not fully developed"
VA.15.5,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.15.5,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.15.5,3,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.15.5,4,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.15.5,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
PA.24.4,1,4a,1,1,5,> 4,
PA.24.4,2,4a,1,1,5,> 4,
PA.24.4,3,4a,1,1,5,4,
PA.24.4,4,4a,1,1,5,4,
PA.24.4,5,4a,1,1,5,4,
VA.15.4,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.15.4,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.15.4,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.15.4,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.15.4,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
PA.23.1,1,4b,1,1,5,3,
PA.23.1,2,4a,1,1,5,3,
PA.23.1,3,4a,1,1,5,4,
PA.23.1,4,4b,1,1,5,4,
PA.23.1,5,4c,1,1,5,> 3,
PA.24.5,1,4c,1,1,5,4,
PA.24.5,2,4b,1,0,5,4,
PA.24.5,3,4c,1,0,5,4,
PA.24.5,4,4c,1,1,5,4,
PA.24.5,5,4b,1,0,5,4,
VA.15.3,1,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.15.3,2,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.15.3,3,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.15.3,4,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.15.3,5,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.15.3,6,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.15.3,7,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.15.3,8,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.15.3,9,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.15.3,10,1,0,0,5,> 3,"stamen structures obvious, but not fully developed"
PA.27.1,1,4b,1,1,5,4,
PA.27.1,2,4b,1,1,5,4,
PA.27.1,3,4b,1,1,5,4,
PA.27.1,4,4b,1,1,5,4,
PA.27.1,5,4c,1,1,5,4,
NJ.31.4,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
NJ.31.4,2,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NJ.31.4,3,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NJ.31.4,4,1,0,0,5,<3,"stamen structures obvious, but not fully developed"
NJ.31.4,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.45.4,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.45.4,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.45.4,3,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
ME.45.4,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.45.4,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.45.2,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.45.2,2,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
ME.45.2,3,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
ME.45.2,4,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
ME.45.2,5,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
ME.45.2,6,1,0,0,5,3,"stamen structures obvious, but not fully developed"
NC.9.5,1,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NC.9.5,2,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NC.9.5,3,1,0,0,5,< 3,
NC.9.5,4,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NC.9.5,5,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NC.9.5,6,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NC.9.5,7,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NC.9.5,8,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.10.3,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.10.3,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.10.3,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.10.3,4,1,0,0,5,3,"stamen structures obvious, but not fully developed; ovary broke off during observation"
VA.10.3,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.15.2,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.15.2,2,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.15.2,3,2,0,0,5,< 3,"stamen structures obvious, but not fully developed; ovary floating in ethanol, broken"
