Pot ID,Population,Latitude,Longitude,Ploidy,Flower Rep,Ovary,Stamen,Anthers,Tepal #,Size (mm),Notes,Size_log
VA.20.4,20,39.08063,-78.0857375,8x,1,1,0,0,5,3,,0.477
VA.20.4,20,39.08063,-78.0857375,8x,2,1,0,0,5,2.5,,0.398
VA.20.4,20,39.08063,-78.0857375,8x,3,1,0,0,5,3,,0.477
VA.20.4,20,39.08063,-78.0857375,8x,4,1,0,0,5,2.5,,0.398
VA.20.4,20,39.08063,-78.0857375,8x,5,1,0,0,5,3.5,,0.544
PA.26.1,26,40.280917,-75.948269,6x,1,2,1,1,5,4,,0.602
PA.26.1,26,40.280917,-75.948269,6x,2,2,0,1,5,3.5,,0.544
PA.26.1,26,40.280917,-75.948269,6x,3,2,1,1,5,4,,0.602
PA.26.1,26,40.280917,-75.948269,6x,4,2,0,1,5,3,,0.477
PA.26.1,26,40.280917,-75.948269,6x,5,2,1,1,5,3,,0.477
NJ.31.1,31,41.011275,-74.351194,8x,1,1,0,0,5,2.5,,0.398
NJ.31.1,31,41.011275,-74.351194,8x,2,1,0,0,5,3,,0.477
NJ.31.1,31,41.011275,-74.351194,8x,3,1,0,0,5,3,,0.477
NJ.31.1,31,41.011275,-74.351194,8x,4,1,0,0,5,3,,0.477
NJ.31.1,31,41.011275,-74.351194,8x,5,1,0,0,5,2.5,,0.398
NJ.29.4,29,40.734003,-75.082287,6x,1,2,1,1,5,3.5,,0.544
NJ.29.4,29,40.734003,-75.082287,6x,2,2,1,1,5,4,,0.602
NJ.29.4,29,40.734003,-75.082287,6x,3,2,1,1,5,4,,0.602
NJ.29.4,29,40.734003,-75.082287,6x,4,2,1,1,5,3.5,,0.544
NJ.29.4,29,40.734003,-75.082287,6x,5,2,1,1,5,3.5,,0.544
PA.26.3,26,40.280917,-75.948269,6x,1,2,0,1,5,3,,0.477
PA.26.3,26,40.280917,-75.948269,6x,2,1,1,1,5,3,,0.477
PA.26.3,26,40.280917,-75.948269,6x,3,2,1,1,6,4,,0.602
PA.26.3,26,40.280917,-75.948269,6x,4,2,0,1,6,3,,0.477
PA.26.3,26,40.280917,-75.948269,6x,5,2,0,1,5,3,,0.477
PA.27.3,27,40.345656,-75.483868,6x,1,2,1,1,5,4,,0.602
PA.27.3,27,40.345656,-75.483868,6x,2,2,1,1,5,3.5,,0.544
PA.27.3,27,40.345656,-75.483868,6x,3,2,1,1,5,4,,0.602
PA.27.3,27,40.345656,-75.483868,6x,4,2,1,1,5,3,,0.477
PA.27.3,27,40.345656,-75.483868,6x,5,2,1,1,5,3.5,,0.544
NJ.29.2,29,40.734003,-75.082287,6x,1,2,1,1,5,3,,0.477
NJ.29.2,29,40.734003,-75.082287,6x,2,2,1,1,5,3,,0.477
NJ.29.2,29,40.734003,-75.082287,6x,3,2,1,1,5,3.5,,0.544
NJ.29.2,29,40.734003,-75.082287,6x,4,2,1,1,5,3.5,,0.544
NJ.29.2,29,40.734003,-75.082287,6x,5,2,1,1,5,3.5,,0.544
NJ.29.2,29,40.734003,-75.082287,6x,6,2,1,1,5,3,,0.477
NJ.29.2,29,40.734003,-75.082287,6x,7,2,1,1,5,3,,0.477
NJ.29.2,29,40.734003,-75.082287,6x,8,2,1,1,5,3,,0.477
NJ.29.2,29,40.734003,-75.082287,6x,9,2,1,1,5,3,,0.477
PA.25.4,25,40.166142,-76.295772,6x,1,2,0,1,6,4,,0.602
PA.25.4,25,40.166142,-76.295772,6x,2,2,0,1,5,3,,0.477
PA.25.4,25,40.166142,-76.295772,6x,3,2,0,1,5,3,,0.477
PA.25.4,25,40.166142,-76.295772,6x,4,2,0,0,6,3,,0.477
PA.25.4,25,40.166142,-76.295772,6x,5,2,0,1,8,7,,0.845
VA.12.2,12,37.139981,-80.542233,8x,1,1,0,0,5,2.5,,0.398
VA.12.2,12,37.139981,-80.542233,8x,2,1,0,0,5,3,,0.477
VA.12.2,12,37.139981,-80.542233,8x,3,1,0,0,5,2.5,,0.398
